№,Name:,Description:,Price:,Image Url:
45,Lexus ES,"2016 г., 2.5 л., вариатор седан, гибрид руль слева, 140 000 км",$ 27 400,https://im.mashina.kg/tachka/images//f/2/d/f2dc5722c8393ca947b68f07cda5d8ab_240x180.jpg
46,GAC Trumpchi GS8,"2023 г., автомат внедорожник 5 дв., бензин руль слева, 30 км",$ 38 000,https://im.mashina.kg/tachka/images//0/5/2/052519389fe6b944c8982b55945fd497_240x180.jpg
47,Geely Monjaro,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 50 км",$ 32 000,https://im.mashina.kg/tachka/images//b/5/0/b50033e3c6ae18da76ad7b5cabcba03d_240x180.jpg
48,Kia K5 III Седан,"2020 г., 2 л., автомат седан, газ руль слева, 88 000 км",$ 18 700,https://im.mashina.kg/tachka/images//a/4/3/a43080e668dcc822818b50823757fcdc_240x180.jpg
49,Kia Morning,"2017 г., 1 л., автомат хэтчбек 5 дв., бензин руль слева, 56 000 км",$ 11 400,https://im.mashina.kg/tachka/images//a/d/a/ada5db9d52f637b93040f055ec4a985a_240x180.jpg
50,Toyota RAV4,"2017 г., 2.5 л., автомат внедорожник 5 дв., бензин руль слева, 111 120 км",$ 17 500,https://im.mashina.kg/tachka/images//1/a/9/1a9b77e458b285bf44da84f44fc8a81e_240x180.jpg
51,Geely Monjaro,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 10 км",$ 32 500,https://im.mashina.kg/tachka/images//0/3/2/03283bb179fea9d9ca16c78f63dbddd6_240x180.jpg
52,Toyota Prius,"2019 г., 1.8 л., автомат лифтбек, гибрид руль слева, 1 000 км",$ 23 000,https://im.mashina.kg/tachka/images//0/6/3/0634f284d7b0ebb9ef9c25cc6d0de8c1_240x180.jpg
53,Lexus LS,"2007 г., 4.6 л., автомат седан, бензин руль слева, 150 000 км",$ 9 000,https://im.mashina.kg/tachka/images//8/e/b/8ebe49bc8dd9658263559563c5afa93b_240x180.jpg
54,Kia K7,"2018 г., 2.4 л., автомат седан, бензин руль слева, 164 322 км",$ 23 000,https://im.mashina.kg/tachka/images//0/6/5/065afd071b18d8064d384d975ff50329_240x180.jpg
55,Hyundai Avante,"2021 г., 1.6 л., робот седан, бензин руль слева, 32 000 км",$ 21 000,https://im.mashina.kg/tachka/images//8/7/1/871cd878ced51ba532c11f573bbb8a6d_240x180.jpg
56,Toyota RAV4,"2020 г., 2.5 л., автомат внедорожник 5 дв., бензин руль слева, 41 200 км",$ 26 500,https://im.mashina.kg/tachka/images//5/6/7/567f6925ff17d619eeafb413455a0516_240x180.jpg
57,Toyota Land Cruiser,"2011 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 230 000 км",$ 37 000,https://im.mashina.kg/tachka/images//e/f/f/eff0682c0697d1bb5a7b215d205f9db0_240x180.jpg
58,Kia Mohave (Borrego),"2020 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 48 000 км",$ 45 500,https://im.mashina.kg/tachka/images//d/5/7/d5751d9e824cf57b1c8eea5a6cd98e44_240x180.jpg
59,BYD Song Plus,"2023 г., автомат внедорожник 5 дв., электро руль слева, 100 км",$ 32 800,https://im.mashina.kg/tachka/images//1/f/c/1fc435b3b2a80f09673df251d07dfd86_240x180.jpg
60,Tesla Model Y,"2023 г., автомат внедорожник 5 дв., электро руль слева, 100 км",$ 48 900,https://im.mashina.kg/tachka/images//e/0/e/e0e19aefe6f61eaef370f87ff4e1e72f_240x180.jpg
61,Toyota Prius v (+),"2015 г., 1.8 л., автомат универсал, гибрид руль слева, 106 800 км",$ 15 200,https://im.mashina.kg/tachka/images//9/b/8/9b8ce7f5e91002dc6d4d2a1935c98500_240x180.jpg
62,EXEED RX,"2023 г., 2 л., робот внедорожник 5 дв., бензин руль слева",$ 35 500,https://im.mashina.kg/tachka/images//6/d/d/6dd2d1d0ee1564882008c2c104502665_240x180.jpg
63,Audi Q7,"2011 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 130 000 км",$ 19 300,https://im.mashina.kg/tachka/images//b/b/2/bb2508d5af46ec4799afa13d4fc7e898_240x180.jpg
64,Subaru Crosstrek,"2020 г., 2 л., вариатор внедорожник 5 дв., гибрид руль слева, 80 000 км",$ 23 500,https://im.mashina.kg/tachka/images//3/0/b/30b2bb6fd7f50323658c39a1912fc858_240x180.jpg
65,LiXiang L7,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева",$ 64 000,https://im.mashina.kg/tachka/images//d/a/8/da8bc30dbbeb4f437f58031c12f6fc20_240x180.jpg
66,Geely Preface,"2023 г., 2 л., робот седан, бензин руль слева, 10 км",$ 25 500,https://im.mashina.kg/tachka/images//0/1/9/019e5f8cd224dd97bcb0ea7bbff86159_240x180.jpg
67,LiXiang L9,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева",$ 73 500,https://im.mashina.kg/tachka/images//a/0/7/a0778181082dac934b6e4c9e2fb7d56d_240x180.jpg
68,Mercedes-Benz GLC,"2020 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 16 000 км",$ 40 500,https://im.mashina.kg/tachka/images//5/8/a/58a5f0375f0dccd7c7526d3e9e00d5e7_240x180.jpg
69,Kia Carnival,"2019 г., 2.2 л., автомат минивэн, дизель руль слева, 153 000 км",$ 19 900,https://im.mashina.kg/tachka/images//c/c/3/cc33b8b10b84a22d840eb16397b02fba_240x180.jpg
70,Toyota Highlander,"2018 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 78 000 км",$ 32 000,https://im.mashina.kg/tachka/images//5/6/2/562f5fa48eb2adfbf7c5d7d03b7c1c20_240x180.jpg
71,Changan UNI-K,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева",$ 25 700,https://im.mashina.kg/tachka/images//d/c/6/dc6f79f288fe8b970764e3342f51277f_240x180.jpg
72,Zeekr 001,"2023 г., автомат лифтбек, электро руль слева","
                                                                                                    $
                                                                                                41 910
                                                                                            ",https://im.mashina.kg/tachka/images//0/a/a/0aa3260f6555b15a6774efb9543c8ec1_240x180.jpg
73,Toyota Camry,"2003 г., 2.4 л., автомат седан, бензин руль слева, 306 000 км",$ 8 602,https://im.mashina.kg/tachka/images//8/b/2/8b28ee87bd7ef4cc2d1f8067c2c353a0_240x180.jpg
74,LiXiang L7,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева, 10 км",$ 63 000,https://im.mashina.kg/tachka/images//9/5/9/9598fb572fa205a3f49664386c691c91_240x180.jpg
75,Mercedes-Benz S-класс,"2006 г., 5.5 л., автомат седан, бензин руль слева, 90 000 км",$ 13 000,https://im.mashina.kg/tachka/images//9/f/0/9f0f02e4c52f9af3fc16565957dd270a_240x180.jpg
76,Lexus GX,"2016 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 85 000 км",$ 51 000,https://im.mashina.kg/tachka/images//6/f/2/6f24597c92ecc7ca1f067ecc4da8212c_240x180.jpg
77,Lexus RX,"2017 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 123 000 км",$ 36 000,https://im.mashina.kg/tachka/images//7/b/c/7bc0a4925f0cb7549eca802334ef88c7_240x180.jpg
78,Hyundai Santa Fe,"2018 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 134 000 км",$ 24 200,https://im.mashina.kg/tachka/images//d/c/e/dce01ac7350f413386204fc0ebaf5bee_240x180.jpg
79,Hyundai Palisade,"2021 г., 2.2 л., автомат внедорожник 5 дв., дизель руль слева, 9 000 км",$ 47 000,https://im.mashina.kg/tachka/images//a/7/b/a7b4b516c110ed0e31db543e40889d0e_240x180.jpg
80,Lexus NX,"2017 г., 2.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 65 000 км",$ 28 500,https://im.mashina.kg/tachka/images//1/7/7/1773c2086370bcec19c962174b8e24ee_240x180.jpg
81,BMW X7,"2020 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 70 000 км",$ 85 000,https://im.mashina.kg/tachka/images//6/e/0/6e0dc61c9604e2f1eb139bbcf7760069_240x180.jpg
82,Toyota Corolla,"2023 г., 1.2 л., вариатор хэтчбек 5 дв., бензин руль слева, 20 км",$ 20 000,https://im.mashina.kg/tachka/images//7/6/8/76865abb6a36fd22209dfd3da4786224_240x180.jpg
83,Volkswagen Atlas,"2018 г., 3.6 л., автомат внедорожник 5 дв., бензин руль слева, 113 185 км",$ 30 000,https://im.mashina.kg/tachka/images//b/6/6/b66e2b458570709cd12fecc44dad22e4_240x180.jpg
84,Hyundai Santa Fe,"2022 г., 2.5 л., автомат внедорожник 5 дв., бензин руль слева, 7 000 км",$ 31 000,https://im.mashina.kg/tachka/images//1/2/5/12590caa337cbbc56f2097627ef382db_240x180.jpg
85,Honda e:NS1,"2022 г., автомат внедорожник 5 дв., электро руль слева, 11 000 км",$ 23 000,https://im.mashina.kg/tachka/images//d/4/f/d4f421d39c3e9055d4a3c1ca1a583623_240x180.jpg
86,Toyota 4Runner,"2018 г., 4 л., автомат внедорожник 5 дв., бензин руль слева, 70 811 км",$ 36 000,https://im.mashina.kg/tachka/images//6/b/d/6bd46b342de69bba7a182a28b90f2d99_240x180.jpg
87,BMW X3,"2019 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 90 000 км",$ 39 000,https://im.mashina.kg/tachka/images//f/6/4/f64210fe691ee7a62a79b008e622a457_240x180.jpg
88,Lexus ES,"2017 г., 3.5 л., автомат седан, бензин руль слева, 130 000 км",$ 30 000,https://im.mashina.kg/tachka/images//1/4/5/145acaadf43f1400d27bdd7ce19542e6_240x180.jpg
89,Geely Monjaro,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева",$ 34 200,https://im.mashina.kg/tachka/images//1/1/7/11741d9976f0bd16040de1251495030c_240x180.jpg
90,Honda CR-V,"2010 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 270 000 км",$ 14 399,https://im.mashina.kg/tachka/images//e/4/7/e47d60c2b05c12788b32dd677c96f60a_240x180.jpg
91,Toyota RAV4,"2007 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 270 000 км",$ 13 500,https://im.mashina.kg/tachka/images//2/5/1/2512324a829153256d3037ecf563fca3_240x180.jpg
92,SsangYong Korando Turismo,"2018 г., 2.2 л., автомат минивэн, дизель руль слева, 100 000 км",$ 19 800,https://im.mashina.kg/tachka/images//4/a/6/4a60c63fbd5ad3359ebd0a49344b791a_240x180.jpg
93,Lexus GX,"2010 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 240 000 км",$ 36 500,https://im.mashina.kg/tachka/images//7/d/f/7df0b6792402c18ab676c97ecc151c5e_240x180.jpg
94,Kia Sportage,"2017 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 190 000 км",$ 17 000,https://im.mashina.kg/tachka/images//6/3/8/638e8d570f0c1a80a5407bdab7bf80f3_240x180.jpg
95,Toyota Highlander,"2020 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 96 000 км",$ 49 500,https://im.mashina.kg/tachka/images//6/4/6/6462a9310de0adc14a0c9f1ece103744_240x180.jpg
96,Toyota Camry (Japan),"2018 г., 2.5 л., автомат седан, бензин руль слева, 85 000 км",$ 31 500,https://im.mashina.kg/tachka/images//5/6/3/563d7b69fa6af56685101961963c095b_240x180.jpg
97,Kia K5 III Седан,"2019 г., 2 л., автомат седан, бензин руль слева, 47 000 км",$ 27 500,https://im.mashina.kg/tachka/images//c/b/f/cbf36cd2efcd464fe74bd099d79d0bab_240x180.jpg
98,Lexus RX,"2018 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 73 000 км",$ 48 000,https://im.mashina.kg/tachka/images//1/e/5/1e5f1facd50168c11563fa8ef2a7d823_240x180.jpg
99,Lexus CT,"2016 г., 1.8 л., вариатор хэтчбек 5 дв., гибрид руль слева, 60 000 км",$ 16 300,https://im.mashina.kg/tachka/images//a/0/a/a0a435047d9c624d53840f856b353c7a_240x180.jpg
100,Toyota Highlander,"2023 г., 2.5 л., автомат внедорожник 5 дв., гибрид руль слева, 95 км",$ 55 500,https://im.mashina.kg/tachka/images//c/1/8/c185c70a63511a1d812ff91b7d369bb7_240x180.jpg
101,Toyota Prius,"2016 г., 1.8 л., вариатор лифтбек, гибрид руль слева, 108 000 км",$ 15 300,https://im.mashina.kg/tachka/images//5/e/c/5ecb737877f6e5c2c06c4a7b831d98ae_240x180.jpg
102,Toyota Land Cruiser,"2018 г., 4.5 л., автомат внедорожник 5 дв., дизель руль слева, 95 000 км",$ 80 000,https://im.mashina.kg/tachka/images//5/0/8/508290122af68b08b3cb8b8a51a44855_240x180.jpg
103,Mercedes-Benz E-класс,"2004 г., 3.2 л., автомат седан, бензин руль слева, 188 000 км",$ 12 000,https://im.mashina.kg/tachka/images//d/d/f/ddf0da10224da0240940e9a23c4896cb_240x180.jpg
104,Hyundai Avante,"2019 г., 1.6 л., автомат седан, газ руль слева, 130 000 км",$ 14 500,https://im.mashina.kg/tachka/images//3/f/f/3ff364f84f423627f0b4e1a3f91375cc_240x180.jpg
105,Kia Sorento,"2017 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 82 000 км",$ 25 500,https://im.mashina.kg/tachka/images//c/3/e/c3ec4d0f21b9c5a89b1c76b7619ed7d5_240x180.jpg
106,Lexus GX,"2016 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 90 000 км",$ 52 500,https://im.mashina.kg/tachka/images//9/3/1/931d8d1a827ecb10c47928627e8be191_240x180.jpg
107,Chevrolet Equinox,"2018 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 76 000 км",$ 17 600,https://im.mashina.kg/tachka/images//e/c/8/ec86601208937a668b00babd74cad494_240x180.jpg
108,Lexus GX,"2018 г., 4.6 л., автомат внедорожник 5 дв., бензин руль слева, 46 000 км",$ 45 500,https://im.mashina.kg/tachka/images//0/c/6/0c651291ca79cd89336cedbd21ead4c6_240x180.jpg
109,LiXiang L9,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева, 10 км",$ 71 500,https://im.mashina.kg/tachka/images//c/b/9/cb9ab8c8cb1cbb22b871af23927ec959_240x180.jpg
110,Changan UNI-K,"2023 г., 2 л., автомат внедорожник 5 дв., бензин руль слева, 20 км",$ 29 800,https://im.mashina.kg/tachka/images//1/a/6/1a6eda118f29c3d30439c54abead2df1_240x180.jpg
111,BMW X5,"2020 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 23 000 км",$ 85 000,https://im.mashina.kg/tachka/images//b/f/3/bf3997bc1e21524a945671e3fe38af76_240x180.jpg
112,LiXiang L7,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева, 20 км",$ 62 000,https://im.mashina.kg/tachka/images//1/9/5/195c25d0782f98a15448c15feee5f269_240x180.jpg
113,Zeekr X,"2023 г., автомат внедорожник 5 дв., электро руль слева",$ 33 571,https://im.mashina.kg/tachka/images//3/a/9/3a948a03224fda71c51065de751f6c90_240x180.jpg
114,LiXiang L7,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева",$ 45 048,https://im.mashina.kg/tachka/images//2/3/0/230410b72847bbff95205b621f6ee33e_240x180.jpg
115,LiXiang L9,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева",$ 63 392,https://im.mashina.kg/tachka/images//a/9/e/a9ec096dff27e319735e9f83f6706719_240x180.jpg
116,Changan UNI-K,"2023 г., 1.5 л., автомат внедорожник 5 дв., гибрид руль слева",$ 25 961,https://im.mashina.kg/tachka/images//7/7/e/77e12d28fbb1c23760062caa8a5290af_240x180.jpg
117,Toyota Corolla,"2019 г., 1.8 л., вариатор седан, бензин руль слева, 100 000 км",$ 14 000,https://im.mashina.kg/tachka/images//8/4/f/84f2f032a1bc80a3163eba987c3cf5c3_240x180.jpg
118,Hyundai Sonata,"2017 г., 2 л., автомат седан, газ руль слева, 220 000 км",$ 11 000,https://im.mashina.kg/tachka/images//2/b/3/2b30a9e609b1edefcc803ef6422e2718_240x180.jpg
119,Toyota Highlander,"2017 г., 3.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 182 000 км",$ 37 500,https://im.mashina.kg/tachka/images//b/0/d/b0dcbfb71e3a4535dbf3ff61817a0069_240x180.jpg
120,EXEED Yaoguang,"2023 г., 2 л., робот внедорожник 5 дв., бензин руль слева",$ 37 500,https://im.mashina.kg/tachka/images//c/c/a/ccac8077fab3f3d27183cef5c363260d_240x180.jpg
121,Toyota Camry,"2021 г., 2.5 л., автомат седан, бензин руль слева, 50 300 км",$ 28 500,https://im.mashina.kg/tachka/images//5/1/c/51cc25c5d5b9e99160e6f57c885e3d03_240x180.jpg
122,Toyota Crown Majesta,"2004 г., 4.3 л., автомат седан, бензин руль справа, 273 000 км",$ 12 700,https://im.mashina.kg/tachka/images//3/0/8/308d831b4be5b56f1d46a5c2fd3d0815_240x180.jpg
123,Toyota RAV4,"2017 г., 2.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 89 000 км",$ 23 000,https://im.mashina.kg/tachka/images//b/3/a/b3a504ea462dbc718227d54609b31596_240x180.jpg
124,Honda Fit,"2010 г., 1.3 л., вариатор хэтчбек 5 дв., гибрид руль справа, 172 451 км",$ 8 800,https://im.mashina.kg/tachka/images//a/2/b/a2bfc135516a795b8abb9b01fc336502_240x180.jpg
125,Lexus RX,"2023 г., 2.4 л., автомат внедорожник 5 дв., бензин руль слева, 77 км",$ 95 490,https://im.mashina.kg/tachka/images//1/d/6/1d69d2c345863d4186659905bb0b2b95_240x180.jpg
126,Lexus RX,"2003 г., 3.3 л., автомат внедорожник 5 дв., бензин руль слева, 209 214 км",$ 13 600,https://im.mashina.kg/tachka/images//1/1/8/118885308efdaabcf75521cdd9cda7b8_240x180.jpg
127,Hyundai Santa Fe,"2018 г., 2.2 л., автомат внедорожник 5 дв., дизель руль слева, 151 000 км",$ 27 500,https://im.mashina.kg/tachka/images//8/b/d/8bdd7433871fd89f1766265e413a360d_240x180.jpg
